Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Ricardo Basurto,Ricardo Basurto,,1,1,5,0.394366,0.437202,0,0,0,15,0.000645,8,0,0,0.041039
J. Wall,J. Wall,,1,1,1,1,1,0,0,0,32,0.001447,28,0,0,0.001526
S. Post,S. Post,,1,1,1,1,1,0,0,0,32,0.001447,28,0,0,0.001526
Ryan K. Masters,Ryan K. Masters,,1,1,4,0.337349,0.379464,0,0,0,15,0.00062,8,0,0,0.027706
John Paszalek,John Paszalek,,1,1,3,0.5,0.517544,0,0,0,1,0.000703,2,0,0,0.013083
Neyda E. de Leon,Neyda E. de Leon,,1,1,3,0.5,0.517544,0,0,0,1,0.000703,2,0,0,0.013083
Christine V. Hawkes,Christine V. Hawkes,,1,1,3,0.5,0.517544,0,0,0,1,0.000703,2,0,0,0.013083
Fazle Shahnawaz Muhibul Karim,Fazle Shahnawaz Muhibul Karim,,1,1,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Peter Csaszar,Peter Csaszar,,1,1,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Peng Fan,Peng Fan,,1,1,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Alexander Askerman,Alexander Askerman,,1,2,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
Angela Bates,Angela Bates,,1,1,5,0.306748,0.364,0,0,0,4,0.000601,5,0,0,0.062425
Gary E. Lemack,Gary E. Lemack,,1,1,5,0.306748,0.364,0,0,0,4,0.000601,5,0,0,0.062425
C. M. Cohu,C. M. Cohu,,1,1,2,0.514286,0.527778,0,0,0,12,0.000819,18,0,0,0.011797
Yan Li,Yan Li,,2,2,3,0.490683,0.50211,0,0.098013,0.098013,27,0.000986,7,1,1,0.157736
Francisco Layrisse,Francisco Layrisse,,1,1,5,0.288184,0.3065,0,0,0,17,0.000719,5,0,0,0.011815
David E Bakken,David E Bakken,,2,2,1,1,1,1,0,0,33,0.002112,29,0,0,0.003199
David A Karr,David A Karr,,1,1,2,0.666667,0.75,0,0,0,33,0.001115,29,0,0,0.00199
Christopher C Jones,Christopher C Jones,,1,1,2,0.666667,0.75,0,0,0,33,0.001115,29,0,0,0.00199
Andrew Z. Fire,Andrew Z. Fire,,1,1,2,0.511628,0.522727,0,0,0,14,0.000788,16,0,0,0.01525
Stephen Levene,Stephen Levene,,1,1,1,1,1,0,0,0,34,0.001447,30,0,0,0.001526
Andrew Fire,Andrew Fire,,1,1,1,1,1,0,0,0,34,0.001447,30,0,0,0.001526
Walter Hu,Walter Hu,,1,1,2,0.511628,0.522727,0,0,0,14,0.000788,16,0,0,0.01525
Steven Kahl,Steven Kahl,,1,1,7,0.242131,0.303833,0,0,0,17,0.00078,5,0,0,0.027259
Brandon H. Lee,Brandon H. Lee,,1,1,7,0.242131,0.303833,0,0,0,17,0.00078,5,0,0,0.027259
Jean-Baptiste Litrico,Jean-Baptiste Litrico,,1,1,7,0.242131,0.303833,0,0,0,17,0.00078,5,0,0,0.027259
Jakomijn van Wijk,Jakomijn van Wijk,,1,1,7,0.242131,0.303833,0,0,0,17,0.00078,5,0,0,0.027259
Edward T. Walker,Edward T. Walker,,1,1,7,0.242131,0.303833,0,0,0,17,0.00078,5,0,0,0.027259
Qing Sun,Qing Sun,,1,1,4,0.461988,0.481013,0,0.065337,0.065337,27,0.000657,7,0,0,0.107715
Jennifer L. Bufford,Jennifer L. Bufford,,1,1,3,0.5,0.517544,0,0,0,1,0.000703,2,0,0,0.013083
Philip E. Hulme,Philip E. Hulme,,1,1,3,0.5,0.517544,0,0,0,1,0.000703,2,0,0,0.013083
Joel D. Reece,Joel D. Reece,,1,1,5,0.306748,0.364,0,0,0,4,0.000601,5,0,0,0.062425
Ollie Jay,Ollie Jay,,2,2,5,0.314465,0.379,50.258859,0,0,4,0.000903,5,0,0,0.07614
